n_components,Metric,Mean,Std
5,Accuracy,0.9770217391304348,0.011367027725043933
5,Macro Precision,0.9794693127398524,0.009334994242238135
5,Macro Recall,0.9692353585112206,0.017212482092948157
5,Macro F1,0.9734117542393035,0.013990485349909166
5,Macro ROC AUC,0.9983027177874523,0.0016337141102273234
10,Accuracy,0.9912562111801243,0.007219133895932358
10,Macro Precision,0.9939729934601249,0.005356968112033074
10,Macro Recall,0.9872773034117861,0.011623452103776195
10,Macro F1,0.9903649079033385,0.008853567761637616
10,Macro ROC AUC,0.9999284897688479,0.00013554626688613614
25,Accuracy,0.994253105590062,0.0067312242976814134
25,Macro Precision,0.996240189815864,0.0048382441934884165
25,Macro Recall,0.9919097792373656,0.010693615234867468
25,Macro F1,0.9939345423523583,0.007997784161434195
25,Macro ROC AUC,0.9999757434007364,5.471144124908531e-05
50,Accuracy,0.996501552795031,0.005727448302497211
50,Macro Precision,0.9974277318762157,0.004330172991641841
50,Macro Recall,0.9944333333333334,0.009540243757096683
50,Macro F1,0.9958104800062884,0.007156087579840745
50,Macro ROC AUC,0.9999835283528352,3.9910768447394736e-05
