n_components,Metric,Mean,Std
5,Accuracy,0.9360791925465839,0.01759782512784901
5,Macro Precision,0.9607680563786716,0.011840989969169245
5,Macro Recall,0.922098266739646,0.022152985457375537
5,Macro F1,0.9384743416342145,0.017754965935258764
5,Macro ROC AUC,0.9956838603577255,0.0017978877541384962
10,Accuracy,0.9657888198757764,0.014210502866961777
10,Macro Precision,0.981886466966237,0.006552778707649917
10,Macro Recall,0.9565754424375115,0.017554716420296303
10,Macro F1,0.967882087870788,0.012900092013082136
10,Macro ROC AUC,0.9997260293055086,0.00032394555740013686
25,Accuracy,0.9677888198757764,0.014607025156279908
25,Macro Precision,0.9826333772436098,0.007230492634515882
25,Macro Recall,0.9588626163108923,0.01777691147786473
25,Macro F1,0.9695135228304725,0.013315892999184625
25,Macro ROC AUC,0.9998113431644474,0.0002514547794445592
50,Accuracy,0.971027950310559,0.012621842099189236
50,Macro Precision,0.9842982591926096,0.006047813471287406
50,Macro Recall,0.9627722130997992,0.01565793925077657
50,Macro F1,0.972471996392288,0.011499957041079843
50,Macro ROC AUC,0.9998243477167464,0.00022617187396382096
