n_components,Metric,Mean,Std
5,Accuracy,0.9837624223602484,0.010050340886413623
5,Macro Precision,0.9814968620184711,0.011348234210276172
5,Macro Recall,0.9815126071884692,0.012935065702727398
5,Macro F1,0.9811177157509112,0.01208205210651169
5,Macro ROC AUC,0.9990168221464555,0.0012427600482282698
10,Accuracy,0.9957515527950309,0.005624430220032431
10,Macro Precision,0.9966279348079143,0.004784607211608081
10,Macro Recall,0.9947911330049262,0.0075643177215625355
10,Macro F1,0.9956523280907041,0.006091142525791005
10,Macro ROC AUC,0.9999696538578684,5.195657885672349e-05
25,Accuracy,0.9984999999999999,0.004145780987944255
25,Macro Precision,0.998356351150472,0.005063217412241793
25,Macro Recall,0.997609523809524,0.006401408663709757
25,Macro F1,0.9979557862932458,0.005746346497287278
25,Macro ROC AUC,0.9999885206125293,4.29692140913804e-05
50,Accuracy,0.9995,0.001730546638107926
50,Macro Precision,0.999448275862069,0.0019095687041191017
50,Macro Recall,0.9990000000000001,0.003461093276215852
50,Macro F1,0.999203169213356,0.0027579056779354254
50,Macro ROC AUC,1.0,0.0
