Principal Component,Explained Variance Ratio,Cumulative Explained Variance
1,0.105397813505987,0.105397813505987
2,0.08754232469325515,0.19294013819924216
3,0.078100810508193,0.27104094870743517
4,0.05165646999617297,0.32269741870360813
5,0.040289316608135145,0.3629867353117433
6,0.02920881306297469,0.392195548374718
7,0.023547351875597904,0.4157429002503159
8,0.021452990923784658,0.43719589117410057
9,0.016320013547177964,0.45351590472127856
10,0.012338994919746238,0.4658548996410248
11,0.010540955326266033,0.4763958549672908
12,0.00894551568640769,0.4853413706536985
13,0.008504326500200844,0.4938456971538993
14,0.007529839092070308,0.5013755362459696
15,0.006666106245982321,0.5080416424919519
16,0.006469395972095681,0.5145110384640477
17,0.006086145452390454,0.5205971839164382
18,0.005850606234886225,0.5264477901513244
19,0.005293659077086902,0.5317414492284113
20,0.005154895671238737,0.53689634489965
21,0.004892586425406175,0.5417889313250561
22,0.004658336559004188,0.5464472678840603
23,0.004549982162923405,0.5509972500469837
24,0.004476360638574935,0.5554736106855587
25,0.0042486852596913495,0.55972229594525
26,0.004181383719950259,0.5639036796652003
27,0.004024265492346462,0.5679279451575467
28,0.00393607000416761,0.5718640151617144
29,0.003904007646285485,0.5757680228079999
30,0.003586874297105579,0.5793548971051055
31,0.0035758287292435536,0.582930725834349
32,0.003499781070912526,0.5864305069052616
33,0.0033733852742879374,0.5898038921795495
34,0.003325228170597161,0.5931291203501468
35,0.0032467014233525417,0.5963758217734993
36,0.003201253250432492,0.5995770750239319
37,0.0030922101678573935,0.6026692851917893
38,0.0029519420881987867,0.6056212272799881
39,0.0028502639764104044,0.6084714912563985
40,0.002803980485900418,0.611275471742299
41,0.0027713732151553538,0.6140468449574543
42,0.0026894489314624086,0.6167362938889167
43,0.002660420338706202,0.6193967142276229
44,0.0026104142163929614,0.6220071284440158
45,0.00258862363175648,0.6245957520757723
46,0.002555679891667288,0.6271514319674396
47,0.002522403110659571,0.6296738350780992
48,0.0024916980118366754,0.6321655330899358
49,0.002438143838630776,0.6346036769285666
50,0.002378601878373079,0.6369822788069397
51,0.002337789526855447,0.6393200683337952
52,0.002296843943129791,0.641616912276925
53,0.002267792259310466,0.6438847045362355
54,0.0022490916165096284,0.6461337961527451
55,0.0021746679454336796,0.6483084640981788
56,0.0021495716859227477,0.6504580357841016
57,0.002130736395117135,0.6525887721792187
58,0.002107606943022724,0.6546963791222414
59,0.0020480485773678664,0.6567444276996093
60,0.0020424099191442137,0.6587868376187535
61,0.001998573236868909,0.6607854108556224
62,0.00197630572762642,0.6627617165832488
63,0.0019732288615148304,0.6647349454447636
64,0.0019486534370693161,0.6666835988818329
65,0.0019249297649410785,0.668608528646774
66,0.0018428202311738572,0.6704513488779479
67,0.0018215393376261803,0.6722728882155741
68,0.00179407447242391,0.6740669626879979
69,0.001768266251102871,0.6758352289391008
70,0.0017625440325553534,0.6775977729716561
71,0.001725138879728417,0.6793229118513846
72,0.0017072064131927601,0.6810301182645774
73,0.0016944200388826762,0.68272453830346
74,0.0016817686041120023,0.684406306907572
75,0.0016479966486940044,0.686054303556266
76,0.0016301324687025406,0.6876844360249685
77,0.0016005727497632543,0.6892850087747318
78,0.0015743794375311254,0.6908593882122629
79,0.0015588528118734657,0.6924182410241364
80,0.001548120348408659,0.6939663613725451
81,0.0015283443771566874,0.6954947057497017
82,0.0015012360715245716,0.6969959418212263
83,0.0014917648984934368,0.6984877067197197
84,0.001484069084541675,0.6999717758042614
85,0.001442230983072149,0.7014140067873336
86,0.0014386677208768045,0.7028526745082103
87,0.0014367114000269905,0.7042893859082373
88,0.0014214538845527614,0.70571083979279
89,0.0014027184247058023,0.7071135582174959
90,0.001393057607745654,0.7085066158252415
91,0.0013802694261911238,0.7098868852514326
92,0.0013629721676678922,0.7112498574191005
93,0.0013570091972266057,0.7126068666163271
94,0.0013442269079157049,0.7139510935242428
95,0.0013314546564938247,0.7152825481807367
96,0.0013108200615114592,0.7165933682422482
97,0.0013037225599683653,0.7178970908022165
98,0.0013031763508302558,0.7192002671530467
99,0.0012768498297585486,0.7204771169828053
100,0.001263648786963686,0.721740765769769
101,0.0012631590745995624,0.7230039248443685
102,0.0012481910831863485,0.7242521159275548
103,0.0012445879868528333,0.7254967039144076
104,0.001226667552441444,0.7267233714668491
105,0.001214355153814123,0.7279377266206631
106,0.0011976051009023395,0.7291353317215655
107,0.001196442655739166,0.7303317743773047
108,0.0011801732979376993,0.7315119476752424
109,0.0011709248358222105,0.7326828725110647
110,0.0011629886263818036,0.7338458611374464
111,0.0011563293496599238,0.7350021904871064
112,0.0011453003511638885,0.7361474908382702
113,0.001130894354402221,0.7372783851926724
114,0.0011253038306407472,0.7384036890233132
115,0.0011203448637366485,0.7395240338870499
116,0.0011024796804559704,0.7406265135675059
117,0.0010943802036210925,0.7417208937711269
118,0.0010859608085762738,0.7428068545797032
119,0.001084225139853565,0.7438910797195567
120,0.0010740225631585677,0.7449651022827153
121,0.0010720876539613614,0.7460371899366767
122,0.0010552897935161972,0.7470924797301929
123,0.0010507414294495664,0.7481432211596425
124,0.0010401226842164048,0.7491833438438589
125,0.0010358383283333437,0.7502191821721922
126,0.0010242773451386842,0.7512434595173308
127,0.0010210239658131428,0.752264483483144
128,0.001011553576500287,0.7532760370596443
129,0.0010051203591574913,0.7542811574188018
130,0.0009997774176256197,0.7552809348364273
131,0.0009950909272213317,0.7562760257636487
132,0.0009854460626911295,0.7572614718263398
133,0.000980051716173369,0.7582415235425132
134,0.0009696509652248169,0.759211174507738
135,0.0009690134256376009,0.7601801879333756
136,0.0009627545040583086,0.761142942437434
137,0.0009480288937010985,0.762090971331135
138,0.0009467017385489891,0.763037673069684
139,0.0009401081365316879,0.7639777812062156
140,0.0009391251159027189,0.7649169063221184
141,0.0009283694371827363,0.7658452757593012
142,0.0009247160117099552,0.7667699917710111
143,0.0009140330275650336,0.7676840247985761
144,0.0009097871481958614,0.768593811946772
145,0.000901761779484352,0.7694955737262563
146,0.0009007026107588979,0.7703962763370152
147,0.0008991012355948836,0.7712953775726101
148,0.0008880681367252241,0.7721834457093354
149,0.0008874640220819311,0.7730709097314173
150,0.0008845428538162185,0.7739554525852336
151,0.0008733934717371294,0.7748288460569707
152,0.0008710499110512928,0.7756998959680219
153,0.0008642352612961073,0.776564131229318
154,0.0008620256323298133,0.7774261568616478
155,0.0008569796630924936,0.7782831365247403
156,0.0008539805537511161,0.7791371170784914
157,0.0008521962380033621,0.7799893133164948
158,0.0008441930992979049,0.7808335064157927
159,0.0008396986082757172,0.7816732050240685
160,0.0008383165963570615,0.7825115216204255
161,0.0008324305923715753,0.7833439522127971
162,0.0008257464100747403,0.7841696986228718
163,0.0008242698715470947,0.7849939684944188
164,0.0008222747032240265,0.7858162431976429
165,0.0008150428212909927,0.7866312860189338
166,0.0008079781502642943,0.7874392641691982
167,0.0008029115732072275,0.7882421757424054
168,0.0007993867180810839,0.7890415624604865
169,0.0007954636945394942,0.789837026155026
170,0.0007919974683766117,0.7906290236234027
171,0.0007856646961193949,0.7914146883195221
172,0.0007831026504555568,0.7921977909699777
173,0.0007826063186844368,0.7929803972886621
174,0.000775303467079666,0.7937557007557418
175,0.0007727073275779402,0.7945284080833197
176,0.0007693227465345048,0.7952977308298542
177,0.0007660525804804338,0.7960637834103347
178,0.0007630777283425727,0.7968268611386773
179,0.0007541094334122049,0.7975809705720895
