n_components,Metric,Method A,Method B,Mean A,Mean B,t-statistic,p-value,Cohen's d,p-value (Holm-adjusted),Significant (α=0.05)
5,Accuracy,PCA,GRP,0.9837624223602484,0.728580745341615,50.59231138975976,1.1368102982402504e-32,14.309666583840212,4.206198103488927e-31,True
5,Accuracy,PCA,SRP,0.9837624223602484,0.5810046583850932,57.27886489000268,9.203095452757684e-31,16.200909512955576,3.2210834084651893e-29,True
5,Accuracy,PCA,KPCA (RBF),0.9837624223602484,0.936079192546584,11.764598865040801,2.923443895367301e-14,3.3275310541639644,6.139232180271332e-13,True
5,Accuracy,PCA,KPCA (Polynomial),0.9837624223602484,0.9770217391304348,2.221281764694261,0.031155843484289056,0.6282733594965331,0.08876386634546199,False
5,Accuracy,GRP,SRP,0.728580745341615,0.5810046583850932,18.055941355603995,1.4899890211577578e-21,5.106991429301683,3.7249725528943946e-20,True
5,Accuracy,GRP,KPCA (RBF),0.728580745341615,0.936079192546584,-35.69730574212672,1.4773832258769415e-34,-10.096722784138915,5.909532903507766e-33,True
5,Accuracy,GRP,KPCA (Polynomial),0.728580745341615,0.9770217391304348,-48.198963274281034,1.4585781610757612e-33,-13.63272551096219,5.542597012087893e-32,True
5,Accuracy,SRP,KPCA (RBF),0.5810046583850932,0.936079192546584,-46.70848552583434,6.050116392115421e-34,-13.211154741708468,2.359545392925014e-32,True
5,Accuracy,SRP,KPCA (Polynomial),0.5810046583850932,0.9770217391304348,-55.6885586219022,2.3420569398943863e-31,-15.751102974420652,8.431404983619791e-30,True
5,Accuracy,KPCA (RBF),KPCA (Polynomial),0.936079192546584,0.9770217391304348,-9.771599161369267,2.8354285919417e-12,-2.763825612016396,4.53668574710672e-11,True
10,Accuracy,PCA,GRP,0.9957515527950308,0.8037158385093168,37.132001363028124,2.633712698963578e-24,10.502515985130124,6.847653017305303e-23,True
10,Accuracy,PCA,SRP,0.9957515527950308,0.7837577639751554,42.50250930220153,5.808757125014352e-26,12.021525018012406,1.7426271375043054e-24,True
10,Accuracy,PCA,KPCA (RBF),0.9957515527950308,0.9657888198757764,9.802581761447648,4.591044858558032e-11,2.7725888146620807,6.427462801981245e-10,True
10,Accuracy,PCA,KPCA (Polynomial),0.9957515527950308,0.9912562111801244,2.4560658878093475,0.0179453466009243,0.6946803377243791,0.08876386634546199,False
10,Accuracy,GRP,SRP,0.8037158385093168,0.7837577639751554,2.8484261637111112,0.006454300093504834,0.8056565824277239,0.04518010065453384,True
10,Accuracy,GRP,KPCA (RBF),0.8037158385093168,0.9657888198757764,-27.977450506229236,7.010735147801991e-27,-7.91321798930628,2.313542598774657e-25,True
10,Accuracy,GRP,KPCA (Polynomial),0.8037158385093168,0.9912562111801244,-35.71984536245411,7.727974553687761e-25,-10.103097951490462,2.2411126205694508e-23,True
10,Accuracy,SRP,KPCA (RBF),0.7837577639751554,0.9657888198757764,-32.33572251193436,1.273316005890691e-29,-9.145923465102115,4.329274420028349e-28,True
10,Accuracy,SRP,KPCA (Polynomial),0.7837577639751554,0.9912562111801244,-40.93271709780587,1.1453144780937039e-26,-11.577520732899627,3.550474882090482e-25,True
10,Accuracy,KPCA (RBF),KPCA (Polynomial),0.9657888198757764,0.9912562111801244,-7.988977584625337,1.8725390851633237e-09,-2.25962408993436,1.872539085163324e-08,True
25,Accuracy,PCA,GRP,0.9985,0.8938649068322981,19.834520402899045,6.699521131053268e-17,5.610049551389139,1.5408898601422516e-15,True
25,Accuracy,PCA,SRP,0.9985,0.8851475155279503,36.06785153079043,9.602651521455872e-25,10.201528960100603,2.688742426007644e-23,True
25,Accuracy,PCA,KPCA (RBF),0.9985,0.9677888198757764,10.113032859878173,7.98454385256074e-11,2.860397645432896,1.0379907008328963e-09,True
25,Accuracy,PCA,KPCA (Polynomial),0.9985,0.994253105590062,2.6860388961694284,0.010484570507938001,0.7597265272048926,0.062907423047628,False
25,Accuracy,GRP,SRP,0.8938649068322981,0.8851475155279503,1.446249050936059,0.1561832814194448,0.4090610044805983,0.1561832814194448,False
25,Accuracy,GRP,KPCA (RBF),0.8938649068322981,0.9677888198757764,-12.376301034068394,7.441021067186943e-15,-3.5005465548783365,1.6370246347811273e-13,True
25,Accuracy,GRP,KPCA (Polynomial),0.8938649068322981,0.994253105590062,-18.656179771356367,4.995818104695165e-17,-5.276764490944553,1.1989963451268396e-15,True
25,Accuracy,SRP,KPCA (RBF),0.8851475155279503,0.9677888198757764,-19.629803676394474,1.4741062772020839e-24,-5.552146917175661,3.9800869484456266e-23,True
25,Accuracy,SRP,KPCA (Polynomial),0.8851475155279503,0.994253105590062,-32.89388895114708,7.21247544572153e-27,-9.303796774781341,2.313542598774657e-25,True
25,Accuracy,KPCA (RBF),KPCA (Polynomial),0.9677888198757764,0.994253105590062,-8.227223921312342,1.4167098933534569e-09,-2.3270103300400544,1.5583808826888026e-08,True
50,Accuracy,PCA,GRP,0.9995,0.9620419254658386,14.018050505712262,2.703738416066012e-13,3.964903428641861,4.59635530731222e-12,True
50,Accuracy,PCA,SRP,0.9995,0.9428229813664598,14.255040273421404,2.5409193995626284e-13,4.0319342573694446,4.573654919212731e-12,True
50,Accuracy,PCA,KPCA (RBF),0.9995,0.971027950310559,11.17433957950676,3.4210461211853335e-11,3.160580516780186,5.131569181778e-10,True
50,Accuracy,PCA,KPCA (Polynomial),0.9995,0.996501552795031,2.505729953307566,0.018228933220061708,0.7087274567224124,0.08876386634546199,False
50,Accuracy,GRP,SRP,0.9620419254658386,0.9428229813664598,4.03304710565811,0.00022803407633181165,1.1407179829022511,0.0018242726106544932,True
50,Accuracy,GRP,KPCA (RBF),0.9620419254658386,0.971027950310559,-2.45544266611413,0.017752773269092397,-0.6945040640096308,0.08876386634546199,False
50,Accuracy,GRP,KPCA (Polynomial),0.9620419254658386,0.996501552795031,-11.937660447554983,1.8630430122924954e-13,-3.3764802615874254,3.726086024584991e-12,True
50,Accuracy,SRP,KPCA (RBF),0.9428229813664598,0.971027950310559,-6.00504780957587,4.3551354016281735e-07,-1.6984840110002084,3.919621861465356e-06,True
50,Accuracy,SRP,KPCA (Polynomial),0.9428229813664598,0.996501552795031,-13.018827615925105,2.14357222232706e-13,-3.6822805161277343,4.072787222421414e-12,True
50,Accuracy,KPCA (RBF),KPCA (Polynomial),0.971027950310559,0.996501552795031,-9.189253431804904,1.1227301415290365e-10,-2.5991133662684005,1.347276169834844e-09,True
