n_components,Metric,Mean,Std,Method
5,Reconstruction MSE,1.0029589411877264,0.0276645298731014,PCA
10,Reconstruction MSE,0.8401967748943345,0.0222548354470598,PCA
25,Reconstruction MSE,0.7265731925096854,0.0190419272796784,PCA
50,Reconstruction MSE,0.661860848149756,0.0176011334041742,PCA
5,Reconstruction MSE,1.7876999035272043,0.0253751776938434,GRP
10,Reconstruction MSE,1.7875011129739702,0.025393611434204,GRP
25,Reconstruction MSE,1.7865141283406687,0.0254112202035016,GRP
50,Reconstruction MSE,1.7839800565101374,0.0254269950957015,GRP
5,Reconstruction MSE,1.7879528536671352,0.0253941952597948,SRP
10,Reconstruction MSE,1.7871601013119078,0.0253665817584189,SRP
25,Reconstruction MSE,1.7862519983723315,0.0253470252410038,SRP
50,Reconstruction MSE,1.7843537573218062,0.0253658298234461,SRP
5,Reconstruction MSE,1.7854586484873436,0.0254159575937982,KPCA (RBF)
10,Reconstruction MSE,1.7853062092276242,0.0254162139068138,KPCA (RBF)
25,Reconstruction MSE,1.7852593761513254,0.0254149096958002,KPCA (RBF)
50,Reconstruction MSE,1.78524417077697,0.025414600008483,KPCA (RBF)
5,Reconstruction MSE,1.771192049330936,0.0251437298269306,KPCA (Polynomial)
10,Reconstruction MSE,1.7702454585549583,0.0251020825243039,KPCA (Polynomial)
25,Reconstruction MSE,1.769963988749458,0.0250995115617362,KPCA (Polynomial)
50,Reconstruction MSE,1.7698769386767703,0.0250993094452312,KPCA (Polynomial)
