n_components,Metric,Mean,Std
5,Accuracy,0.728580745341615,0.023130270852141508
5,Macro Precision,0.7118659635436414,0.02702709793206532
5,Macro Recall,0.7033946360153257,0.0231928273203668
5,Macro F1,0.703946077405308,0.02266563551733309
5,Macro ROC AUC,0.9213309085282004,0.010115420169049283
10,Accuracy,0.8037158385093168,0.02523942950336538
10,Macro Precision,0.8073349044910556,0.0281559572784701
10,Macro Recall,0.8043967524174421,0.029788038721589832
10,Macro F1,0.8036702039506958,0.02827872105856708
10,Macro ROC AUC,0.952607274773144,0.009351949998975125
25,Accuracy,0.8938649068322981,0.0260491743289774
25,Macro Precision,0.888717625936427,0.030667284792858848
25,Macro Recall,0.8924945265462506,0.025443669143608762
25,Macro F1,0.8890118872562239,0.02723503456927912
25,Macro ROC AUC,0.9802288802846162,0.008310872675567368
50,Accuracy,0.9620419254658386,0.01324810851254156
50,Macro Precision,0.9578073693642346,0.015181509977251432
50,Macro Recall,0.9654667396460499,0.01171604892270092
50,Macro F1,0.9609254371197047,0.013300101244262097
50,Macro ROC AUC,0.9980748860372988,0.0010886278873856335
