n_components,Metric,Mean,Std
5,Accuracy,0.5810046583850932,0.03369049129935056
5,Macro Precision,0.5909825143834422,0.04185629726666799
5,Macro Recall,0.5623968436416711,0.033342754068304004
5,Macro F1,0.5676524335361727,0.034973898543382384
5,Macro ROC AUC,0.8516970573074163,0.01846142498469659
10,Accuracy,0.7837577639751554,0.0242964642137029
10,Macro Precision,0.7597403839379647,0.03392827125513587
10,Macro Recall,0.7572113665389527,0.028592657414240726
10,Macro F1,0.755249518224338,0.02995493803904561
10,Macro ROC AUC,0.9483239885936194,0.009634943278325208
25,Accuracy,0.8851475155279503,0.015157028152775592
25,Macro Precision,0.8847524608741779,0.015508674549526227
25,Macro Recall,0.8938929392446633,0.014554077703772044
25,Macro F1,0.8872109775817303,0.014279040502126267
25,Macro ROC AUC,0.9761374992982781,0.0063465997666791495
50,Accuracy,0.9428229813664598,0.019804175387249195
50,Macro Precision,0.9377129787054373,0.02417290735531693
50,Macro Recall,0.946831326400292,0.01827965656919395
50,Macro F1,0.9410374769068335,0.021475174819584494
50,Macro ROC AUC,0.9941160973497992,0.0034423335194203775
